City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
58,Chuy,-33.6971,-53.4616,65.03,95,99,6.17,UY,2022-12-04 00:14:58
59,Jamestown,42.097,-79.2353,36.99,62,100,10.36,US,2022-12-04 00:11:13
60,Burgos,42.3394,-3.7079,32.41,100,20,5.75,ES,2022-12-04 00:14:58
61,Talnakh,69.4865,88.3972,-3.8,99,100,6.26,RU,2022-12-04 00:14:59
62,Menongue,-14.6585,17.691,67.91,50,68,4.0,AO,2022-12-04 00:15:00
63,Rosetta,31.4044,30.4164,64.71,68,30,10.4,EG,2022-12-04 00:15:01
64,Lompoc,34.6391,-120.4579,62.78,92,100,9.22,US,2022-12-04 00:15:01
65,Saint-Philippe,-21.3585,55.7679,76.59,86,30,10.0,RE,2022-12-04 00:15:01
66,Cairns,-16.9167,145.7667,88.11,61,40,10.36,AU,2022-12-04 00:15:02
67,Erenhot,43.6475,111.9767,4.28,68,5,6.38,CN,2022-12-04 00:15:03
68,Beloha,-25.1667,45.05,72.46,71,72,4.41,MG,2022-12-04 00:15:03
69,Kibakwe,-6.7167,36.3667,63.75,89,21,3.74,TZ,2022-12-04 00:15:04
70,New Ulm,44.3125,-94.4605,14.43,87,1,6.24,US,2022-12-04 00:11:17
71,Jackson,42.4165,-122.8345,50.14,53,0,5.75,US,2022-12-04 00:12:30
72,Gizo,-8.103,156.8419,83.05,72,98,4.25,SB,2022-12-04 00:15:05
73,Port Hardy,50.6996,-127.4199,37.33,68,3,4.29,CA,2022-12-04 00:15:07
74,Hun,29.1268,15.9477,62.49,32,3,7.16,LY,2022-12-04 00:15:08
75,Bonavista,48.6499,-53.1147,33.57,69,59,11.23,CA,2022-12-04 00:15:08
76,New Norfolk,-42.7826,147.0587,67.91,36,99,2.75,AU,2022-12-04 00:15:09
77,Lebu,-37.6167,-73.65,57.29,85,50,11.65,CL,2022-12-04 00:15:10
78,Carauari,-4.8828,-66.8958,74.17,96,97,2.35,BR,2022-12-04 00:15:03
79,Mount Gambier,-37.8333,140.7667,82.62,26,54,9.28,AU,2022-12-04 00:11:33
80,Jardim,-21.4803,-56.1381,72.14,95,100,3.42,BR,2022-12-04 00:12:32
81,Hermanus,-34.4187,19.2345,52.81,68,44,6.78,ZA,2022-12-04 00:15:12
82,Hobart,-42.8794,147.3294,68.25,66,75,5.75,AU,2022-12-04 00:15:12
83,Namatanai,-3.6667,152.4333,85.1,65,89,5.7,PG,2022-12-04 00:15:14
84,Joshimath,30.5667,79.5667,44.87,19,1,9.28,IN,2022-12-04 00:15:14
85,Ahipara,-35.1667,173.1667,66.99,60,1,8.41,NZ,2022-12-04 00:11:09
86,Port Alfred,-33.5906,26.891,61.18,91,99,4.81,ZA,2022-12-04 00:15:15
87,Dikson,73.5069,80.5464,27.48,91,100,22.19,RU,2022-12-04 00:15:16
88,Mar Del Plata,-38.0023,-57.5575,66.87,80,0,21.0,AR,2022-12-04 00:11:05
89,Cape Town,-33.9258,18.4232,62.28,71,45,8.99,ZA,2022-12-04 00:10:36
90,Longyearbyen,78.2186,15.6401,28.24,80,75,11.5,SJ,2022-12-04 00:15:18
91,Lorengau,-2.0226,147.2712,79.52,86,100,8.37,PG,2022-12-04 00:15:19
92,Atuona,-9.8,-139.0333,77.68,76,3,13.53,PF,2022-12-04 00:15:19
93,Innisfail,-17.5333,146.0333,81.81,57,24,8.05,AU,2022-12-04 00:15:20
94,Ballina,-28.8667,153.5667,72.01,85,84,12.48,AU,2022-12-04 00:15:20
95,Tura,25.5198,90.2201,58.82,87,0,3.67,IN,2022-12-04 00:15:21
96,Bethel,41.3712,-73.414,55.51,71,99,4.0,US,2022-12-04 00:15:11
97,Puerto Ayora,-0.7393,-90.3518,73.36,94,77,5.99,EC,2022-12-04 00:15:22
98,Pisco,-13.7,-76.2167,66.25,82,0,16.11,PE,2022-12-04 00:15:22
99,Acarau,-2.8856,-40.12,79.61,78,12,16.82,BR,2022-12-04 00:11:13
100,Vestmannaeyjar,63.4427,-20.2734,42.89,72,23,3.6,IS,2022-12-04 00:15:23
101,Thinadhoo,0.5333,72.9333,80.89,72,100,14.5,MV,2022-12-04 00:10:59
102,Iquitos,-3.7481,-73.2472,77.04,83,75,4.61,PE,2022-12-04 00:15:24
103,Carnarvon,-24.8667,113.6333,72.32,72,19,14.2,AU,2022-12-04 00:15:24
104,Margate,51.3813,1.3862,41.31,81,100,5.01,GB,2022-12-04 00:15:25
105,Georgetown,5.4112,100.3354,80.24,89,20,3.44,MY,2022-12-04 00:15:25
106,Dabhol,17.6,73.1667,73.6,63,43,3.85,IN,2022-12-04 00:15:25
107,Kamenka,51.3223,42.7678,15.31,56,17,8.79,RU,2022-12-04 00:15:26
108,Bilibino,68.0546,166.4372,4.15,84,95,4.38,RU,2022-12-04 00:15:27
109,Dashitou,43.3067,128.5114,1.2,75,12,14.05,CN,2022-12-04 00:15:27
110,Ishigaki,24.3448,124.1572,77.16,75,100,6.96,JP,2022-12-04 00:15:28
111,San Patricio,28.017,-97.5169,71.69,87,100,9.93,US,2022-12-04 00:15:26
112,Souillac,-20.5167,57.5167,73.78,83,40,2.3,MU,2022-12-04 00:15:29
113,Avera,33.194,-82.5271,62.38,90,91,5.97,US,2022-12-04 00:11:08
114,Manicore,-5.8092,-61.3003,75.0,91,85,2.21,BR,2022-12-04 00:15:04
115,Lac Du Bonnet,50.2536,-96.0612,4.03,83,79,9.51,CA,2022-12-04 00:15:30
116,Bredasdorp,-34.5322,20.0403,54.79,69,69,0.89,ZA,2022-12-04 00:15:31
117,Hirara,24.8,125.2833,76.19,79,100,8.55,JP,2022-12-04 00:15:31
